Price,Bin values,Class mid-points
50,14.99,12.5
38,19.99,17.5
43,24.99,22.5
56,29.99,27.5
51,34.99,32.5
36,39.99,37.5
25,44.99,42.5
33,49.99,47.5
41,54.99,52.5
44,59.99,57.5
34,64.99,62.5
39,,
49,,
37,,
40,,
50,,
50,,
35,,
22,,
45,,
44,,
38,,
14,,
44,,
51,,
27,,
44,,
39,,
50,,
35,,
31,,
34,,
48,,
48,,
30,,
42,,
26,,
35,,
32,,
63,,
36,,
38,,
53,,
23,,
39,,
45,,
37,,
31,,
39,,
53,,
37,,
37,,
29,,
38,,
37,,
38,,
39,,
29,,
36,,
38,,
44,,
27,,
24,,
34,,
44,,
23,,
30,,
32,,
25,,
29,,
43,,
31,,
26,,
34,,
23,,
41,,
32,,
30,,
28,,
33,,
26,,
51,,
26,,
48,,
39,,
55,,
24,,
38,,
31,,
30,,
51,,
30,,
27,,
38,,
26,,
28,,
33,,
38,,
32,,
25,,
